route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
53739,,11,11TH AVENUE,,3,,3333CC,FFFFFF
53740,,17,1700 SOUTH,,3,,3333CC,FFFFFF
53741,,2,200 SOUTH,,3,,3333CC,FFFFFF
53742,,200,STATE STREET NORTH,,3,,3333CC,FFFFFF
53743,,201,STATE STREET SOUTH,,3,,3333CC,FFFFFF
53744,,205,500 EAST,,3,,3333CC,FFFFFF
53745,,209,900 EAST,,3,,3333CC,FFFFFF
53746,,21,2100 SOUTH / 2100 EAST,,3,,3333CC,FFFFFF
53747,,213,1300 EAST / 1100 EAST,,3,,3333CC,FFFFFF
53748,,217,REDWOOD ROAD,,3,,3333CC,FFFFFF
53749,,218,SANDY/SOUTH JORDAN,,3,,3333CC,FFFFFF
53750,,220,HIGHLAND DRIVE / 1300 EAST,,3,,3333CC,FFFFFF
53751,,223,2300 EAST/ HOLLADAY BLVD,,3,,3333CC,FFFFFF
53752,,227,2700 WEST,,3,,3333CC,FFFFFF
54023,,228,FOOTHILL BLVD / 2700 EAST,,3,,3333CC,FFFFFF
53754,,232,3200 WEST,,3,,3333CC,FFFFFF
53755,,240,4000 WEST/ DIXIE VALLEY,,3,,3333CC,FFFFFF
53756,,248,4800 WEST,,3,,3333CC,FFFFFF
53757,,2X,200 SOUTH EXPRESS,,3,,3333CC,FFFFFF
53758,,3,3RD AVENUE,,3,,3333CC,FFFFFF
53759,,307,COTTONWOOD HEIGHTS FAST BUS,,3,,3333CC,FFFFFF
53760,,313,SOUTH VALLEY / U OF U FAST BUS,,3,,3333CC,FFFFFF
53761,,320,HIGHLAND DRIVE FAST BUS,,3,,3333CC,FFFFFF
53762,,33,3300 SOUTH,,3,,3333CC,FFFFFF
53763,,35,3500 SOUTH,,3,,3333CC,FFFFFF
53764,,354,SANDY / U OF U FAST BUS,,3,,3333CC,FFFFFF
53765,,35M,MAX - 3500 SOUTH,,3,,3333CC,FFFFFF
53766,,39,3900 SOUTH,,3,,3333CC,FFFFFF
53767,,41,4100 SOUTH,,3,,3333CC,FFFFFF
53768,,45,4500 SOUTH,,3,,3333CC,FFFFFF
53769,,451,TOOELE EXPRESS,,3,,3333CC,FFFFFF
53770,,453,TOOELE - SALT LAKE  VIA AIRPORT,,3,,3333CC,FFFFFF
53771,,454,GRANTSVILLE/SALT LAKE,,3,,3333CC,FFFFFF
53772,,455,U OF U/DAVIS COUNTY/WSU,,3,,3333CC,FFFFFF
53773,,456,OGDEN/UNISYS/ ROCKY MTN. EXPRESS,,3,,3333CC,FFFFFF
53774,,460,WOODS CROSS,,3,,3333CC,FFFFFF
53775,,461,BOUNTIFUL via STATE CAPITOL,,3,,3333CC,FFFFFF
53776,,462,NORTH SALT LAKE,,3,,3333CC,FFFFFF
53777,,463,WEST BOUNTIFUL,,3,,3333CC,FFFFFF
53778,,47,4700 SOUTH,,3,,3333CC,FFFFFF
53779,,470,OGDEN - SALT LAKE INTERCITY,,3,,3333CC,FFFFFF
53780,,471,CENTERVILLE,,3,,3333CC,FFFFFF
53781,,472,OGDEN - SALT LAKE EXPRESS,,3,,3333CC,FFFFFF
53782,,473,SLC - OGDEN HWY 89 EXPRESS,,3,,3333CC,FFFFFF
53783,,477,PARC CENTER / DAVIS COUNTY SHUTTLE,,3,,3333CC,FFFFFF
53784,,500,STATE CAPITOL,,3,,3333CC,FFFFFF
53785,,509,900 W SHUTTLE,,3,,3333CC,FFFFFF
53786,,513,INDUSTRIAL BUSINESS PARK SHUTTLE,,3,,3333CC,FFFFFF
53787,,516,POPLAR GROVE / GLENDALE,,3,,3333CC,FFFFFF
53788,,519,FAIRPARK,,3,,3333CC,FFFFFF
53789,,520,ROSE PARK,,3,,3333CC,FFFFFF
53790,,525,MIDVALE (SHUTTLE),,3,,3333CC,FFFFFF
53791,,526,12600 SOUTH,,3,,3333CC,FFFFFF
53792,,54,5400 SOUTH,,3,,3333CC,FFFFFF
53793,,551,INTERNATIONAL CENTER,,3,,3333CC,FFFFFF
53794,,6,6TH AVENUE,,3,,3333CC,FFFFFF
53795,,603,WEBER STATE UNIVERSITY / MCKAY DEE,,3,,3333CC,FFFFFF
53796,,604,WEST OGDEN,,3,,3333CC,FFFFFF
